kommunenummer,komunenavn,lungekreft,smoke,snuff
1557,Gjemnes,50,16.27%,22.77%
1560,Tingvoll,57,16.99%,21.41%
1563,Sunndal,67,17.26%,23.03%
1566,Surnadal,37,16.56%,23.02%
1573,Smøla,97,16.49%,20.86%
1576,Aure,53,16.90%,21.38%
1577,Volda,37,13.63%,19.24%
1578,Fjord,58,12.64%,14.64%
1579,Hustadvika,66,16.29%,24.33%
5001,Trondheim,58,16.46%,17.51%
5006,Steinkjer,58,29.92%,20.50%
5007,Namsos,60,24.94%,17.64%
5014,Frøya,60,31.74%,11.82%
5020,Osen,63,36.39%,31.24%
5021,Oppdal,55,18.00%,15.55%
5022,Rennebu,33,16.17%,15.65%
5025,Røros,43,16.08%,15.56%
5026,Holtålen,0,14.42%,15.06%
5027,Midtre Gauldal,49,21.62%,14.09%
5028,Melhus,52,18.11%,17.37%
5029,Skaun,48,17.34%,19.02%
5031,Malvik,55,19.30%,17.45%
5032,Selbu,42,16.33%,16.26%
5033,Tydal,0,37.92%,27.77%
5034,Meråker,61,16.69%,15.17%
5035,Stjørdal,58,42.21%,26.18%
5036,Frosta,53,18.38%,15.03%
5037,Levanger,52,42.42%,25.63%
5038,Verdal,55,16.38%,17.80%
5041,Snåase Snåsa,0,16.05%,16.48%
5042,Lierne,36,23.06%,5.19%
5043,Raarvihke Røyrvik,0,5.16%,12.26%
5044,Namsskogan,0,36.41%,28.57%
5045,Grong,60,16.63%,15.37%
5046,Høylandet,0,24.45%,5.13%
5047,Overhalla,58,18.21%,16.81%
5049,Flatanger,32,21.71%,4.79%
5052,Leka,82,34.10%,31.41%
5053,Inderøy,47,16.10%,17.22%
5054,Indre Fosen,54,17.11%,16.04%
5055,Heim,63,22.39%,19.74%
5056,Hitra,66,25.13%,12.95%
5057,Ørland,74,16.75%,16.76%
5058,Åfjord,79,25.81%,23.32%
5059,Orkland,59,18.60%,12.68%
5060,Nærøysund,61,18.24%,17.12%
5061,Rindal,0,14.48%,17.50%
1804,Bodø,59,11.02%,18.76%
1806,Narvik,66,15.56%,18.16%
1811,Bindal,47,9.72%,18.00%
1812,Sømna,71,18.62%,18.32%
1813,Brønnøy,65,18.62%,19.00%
1815,Vega,79,9.44%,18.71%
1816,Vevelstad,0,19.11%,12.40%
1818,Herøy (Nordland),78,8.26%,24.78%
1820,Alstahaug,70,18.29%,17.90%
1822,Leirfjord,84,17.95%,18.56%
1824,Vefsn,53,18.57%,18.50%
1825,Grane,43,9.24%,19.62%
1826,Hattfjelldal,0,9.27%,19.43%
1827,Dønna,81,9.42%,19.05%
1828,Nesna,51,8.73%,22.90%
1832,Hemnes,56,18.32%,18.66%
1833,Rana,65,10.72%,17.34%
1834,Lurøy,69,8.80%,18.49%
1835,Træna,0,20.26%,13.44%
1836,Rødøy,50,9.05%,18.66%
1837,Meløy,62,18.36%,17.99%
1838,Gildeskål,85,8.80%,21.39%
1839,Beiarn,0,9.78%,17.81%
1840,Saltdal,51,18.06%,17.44%
1841,Fauske Fuosko,76,18.59%,18.32%
1845,Sørfold,54,9.16%,19.09%
1848,Steigen,41,18.33%,16.27%
1851,Lødingen,64,18.11%,14.87%
1853,Evenes,0,8.82%,20.16%
1856,Røst,0,23.03%,13.39%
1857,Værøy,0,25.82%,13.93%
1859,Flakstad,74,9.31%,17.61%
1860,Vestvågøy,61,18.68%,18.87%
1865,Vågan,55,18.70%,17.80%
1866,Hadsel,57,18.51%,17.88%
1867,Bø,56,18.45%,16.23%
1868,Øksnes,82,18.78%,17.12%
1870,Sortland Suortá,61,18.88%,19.54%
1871,Andøy,51,17.96%,17.17%
1874,Moskenes,68,8.52%,22.07%
1875,Hamarøy Hábmer,54,8.82%,21.47%
5401,Tromsø,60,11.77%,19.23%
5402,Harstad Hárstták,48,10.58%,17.60%
5403,Alta,74,11.04%,18.96%
5404,Vardø,94,19.30%,16.75%
5405,Vadsø,70,18.34%,18.48%
5406,Hammerfest,88,19.91%,16.27%
5411,Kvæfjord,38,18.51%,17.36%
5412,Tjeldsund,52,13.79%,15.76%
5413,Ibestad,49,9.04%,18.59%
5414,Gratangen,42,8.60%,21.27%
5415,Loabák Lavangen,0,8.54%,19.77%
5416,Bardu,67,18.23%,20.34%
5417,Salangen,54,17.61%,17.52%
5418,Målselv,78,18.64%,19.79%
5419,Sørreisa,70,18.90%,18.45%
5420,Dyrøy,86,9.57%,18.42%
5421,Senja,69,18.17%,16.69%
5422,Balsfjord,85,18.54%,17.61%
5423,Karlsøy,93,18.78%,15.59%
5424,Lyngen,59,17.72%,16.53%
5425,Storfjord Omasvuotna Omasvuono,42,8.81%,20.08%
5426,Gáivuotna Kåfjord Kaivuono,73,18.31%,17.41%
5427,Skjervøy,34,18.58%,17.72%
5428,Nordreisa Ráisa Raisi,93,18.48%,19.17%
5429,Kvænangen,106,9.73%,18.22%
5430,Guovdageaidnu Kautokeino,71,18.52%,19.92%
5432,Loppa,123,20.97%,13.25%
5433,Hasvik,120,7.37%,25.36%
5434,Måsøy,108,7.77%,22.67%
5435,Nordkapp,110,18.67%,17.49%
5436,Porsanger Porsá?gu Porsanki,61,18.97%,17.98%
5437,Kárášjohka Karasjok,77,18.91%,20.15%
5438,Lebesby,83,8.06%,24.17%
5439,Gamvik,95,7.70%,27.54%
5440,Berlevåg,109,27.87%,13.63%
5441,Deatnu Tana,54,18.83%,17.86%
5442,Unjárga Nesseby,44,17.00%,13.50%
5443,Båtsfjord,103,17.93%,14.98%
5444,Sør-Varanger,75,18.74%,18.24%
